analysis_id,analysis_name,database_id,total_fails,min_sample_size,max_sample_size,prop_with_calendar_time,prop_in_age_range,prop_with_age_at_first_obs,prop_with_ethnicity_criteria,prop_with_gender_criteria,prop_with_longitudinal_criteria,prop_with_race_criteria,prop_with_required_comparator_concepts,prop_with_required_domain,prop_with_required_outcome_concepts,prop_with_required_target_concepts,prop_meas_records_with_values,prop_with_procedure_criteria,prop_with_observation_criteria,prop_with_death_criteria
2,DPP4I main_SGLT2I main_3-point MACE,Keck_Upgraded_OMOP_v5_NA,1,69,370,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,Klinicki_centar_Crne_Gore_20230101,1,10,50,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,cdm_cds,2,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,premier_2326_20230125,3,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,ccpp_v54_20210101,4,0,0,0,0,0,0,0,0,0,1,1,0,1,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,HKU-THIN,5,0,-12724481,1,0,NA,0,0,0,0,1,0,1,1,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,omop_20190828,NA,NA,900220,NA,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,US_OPEN_CLAIMS_20230313,0,2984398,14070770,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,truven_ccae_2324_20230201,0,626883,1477240,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,optum_extended_dod_2323_20230201,0,599920,1319840,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,optum_extended_ses_2327_20230204,0,599919,1319840,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,US_PharMetrics_Plus_20230330,0,546343,1455410,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,optum_ehr_2247_20221205,0,449949,1565820,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,truven_mdcr_2322_20230127,0,388236,481750,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
